Timestamp,Phase,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771342083.5421796,Relaxed,221857.4375,233834.9375,304757.46875,277001.96875,221115.0,236589.296875,220241.21875,205908.65625
1771342083.5421796,Relaxed,221804.0625,233777.265625,304670.84375,276922.65625,221062.421875,236532.421875,220186.859375,205862.078125
1771342083.5421796,Relaxed,221759.09375,233722.71875,304589.125,276851.84375,221007.359375,236473.515625,220132.421875,205809.78125
1771342083.5421796,Relaxed,221706.703125,233667.921875,304505.0625,276785.25,220951.390625,236412.265625,220080.296875,205756.671875
1771342083.5421796,Relaxed,221660.375,233619.734375,304434.0,276721.59375,220905.15625,236363.984375,220033.796875,205713.03125
1771342083.5421796,Relaxed,221613.984375,233569.484375,304360.9375,276651.65625,220856.171875,236312.21875,219983.46875,205662.34375
1771342083.5421796,Relaxed,221568.65625,233521.296875,304290.0625,276585.25,220810.65625,236263.3125,219937.15625,205622.296875
1771342083.5421796,Relaxed,221528.15625,233476.671875,304223.71875,276528.5625,220768.453125,236219.234375,219895.484375,205586.96875
1771342083.5421796,Relaxed,221491.9375,233438.59375,304162.8125,276475.625,220731.796875,236179.8125,219859.71875,205550.5
1771342083.5421796,Relaxed,221449.109375,233395.3125,304100.25,276417.78125,220690.9375,236136.53125,219819.21875,205506.59375
1771342083.5421796,Relaxed,221415.140625,233358.578125,304044.625,276365.84375,220658.9375,236102.203125,219784.453125,205479.6875
1771342083.5421796,Relaxed,221380.453125,233321.734375,303982.5,276310.75,220628.453125,236065.8125,219751.359375,205451.796875
1771342083.5421796,Relaxed,221340.578125,233284.359375,303923.5625,276255.15625,220596.625,236030.765625,219718.734375,205428.015625
1771342083.5421796,Relaxed,221302.3125,233245.921875,303865.28125,276205.0,220558.4375,235990.71875,219684.046875,205390.453125
1771342083.5421796,Relaxed,221269.859375,233209.984375,303811.28125,276160.28125,220523.75,235954.0625,219651.59375,205352.453125
1771342083.5421796,Relaxed,221241.421875,233177.96875,303758.78125,276114.40625,220495.140625,235923.203125,219621.453125,205329.125
1771342083.5421796,Relaxed,221214.953125,233147.84375,303709.71875,276070.78125,220470.203125,235895.9375,219592.3125,205306.234375
1771342083.5421796,Relaxed,221183.578125,233115.296875,303657.65625,276028.6875,220441.765625,235864.46875,219563.96875,205285.140625
1771342083.5421796,Relaxed,221157.921875,233089.90625,303616.90625,275993.4375,220417.453125,235836.9375,219540.0,205258.671875
1771342083.5421796,Relaxed,221134.84375,233067.375,303577.375,275960.8125,220393.9375,235810.734375,219517.03125,205232.203125
1771342083.5421796,Relaxed,221101.140625,233029.828125,303524.8125,275910.65625,220357.71875,235773.8125,219479.125,205198.6875
1771342083.5421796,Relaxed,221081.65625,233004.78125,303485.375,275870.6875,220332.59375,235748.328125,219452.03125,205174.09375
1771342083.5421796,Relaxed,221060.28125,232979.390625,303445.15625,275836.71875,220304.078125,235718.109375,219424.9375,205147.0
1771342083.5421796,Relaxed,221042.578125,232960.4375,303412.25,275810.34375,220280.5625,235696.65625,219403.65625,205122.6875
1771342083.5421796,Relaxed,221025.859375,232941.9375,303376.3125,275782.1875,220260.0,235676.453125,219384.078125,205103.734375
1771342083.5421796,Relaxed,221006.8125,232918.234375,303338.03125,275746.40625,220237.921875,235651.859375,219361.734375,205087.015625
1771342083.5421796,Relaxed,220994.75,232900.984375,303307.1875,275717.28125,220222.8125,235635.59375,219343.84375,205073.515625
1771342083.5421796,Relaxed,220978.65625,232882.203125,303271.875,275685.34375,220202.78125,235614.9375,219323.46875,205053.84375
1771342083.5421796,Relaxed,220962.734375,232865.140625,303237.46875,275663.0,220182.21875,235591.328125,219306.203125,205031.484375
1771342083.5421796,Relaxed,220943.25,232844.65625,303203.65625,275633.3125,220159.859375,235568.171875,219285.203125,205007.4375
1771342083.5421796,Relaxed,220924.296875,232824.28125,303172.71875,275595.5,220143.140625,235550.5625,219266.328125,204990.1875
1771342083.5421796,Relaxed,220910.265625,232807.375,303146.09375,275565.5625,220131.25,235536.703125,219253.015625,204977.671875
1771342083.5421796,Relaxed,220893.890625,232791.28125,303115.5,275545.53125,220118.015625,235519.890625,219241.203125,204966.765625
1771342083.5421796,Relaxed,220875.65625,232775.546875,303084.125,275525.125,220103.0,235503.359375,219227.625,204955.140625
1771342083.5421796,Relaxed,220857.78125,232759.546875,303053.8125,275499.65625,220087.0,235487.625,219211.96875,204937.609375
1771342083.5421796,Relaxed,220847.046875,232744.609375,303028.6875,275473.28125,220076.09375,235475.453125,219198.46875,204926.609375
1771342083.5421796,Relaxed,220833.09375,232731.375,303003.40625,275450.5625,220068.9375,235466.078125,219188.640625,204922.5
1771342083.5421796,Relaxed,220825.40625,232722.625,302977.46875,275439.3125,220058.65625,235450.515625,219179.515625,204900.0625
1771342083.5421796,Relaxed,220811.90625,232706.96875,302949.9375,275420.4375,220042.5625,235431.921875,219165.84375,204879.40625
1771342083.5421796,Relaxed,220794.828125,232690.96875,302922.21875,275398.0,220029.875,235418.328125,219153.59375,204872.96875
1771342083.5421796,Relaxed,220788.21875,232680.78125,302901.125,275375.21875,220021.90625,235410.640625,219144.203125,204868.59375
1771342083.5421796,Relaxed,220773.90625,232662.09375,302874.75,275344.0,220004.390625,235394.90625,219124.4375,204846.78125
1771342083.5421796,Relaxed,220763.1875,232646.0,302851.5,275320.84375,219988.828125,235381.21875,219109.515625,204837.5625
1771342083.5421796,Relaxed,220747.890625,232628.921875,302825.28125,275298.59375,219970.59375,235362.1875,219094.046875,204831.03125
1771342083.5421796,Relaxed,220736.984375,232615.15625,302799.1875,275278.5625,219954.765625,235346.09375,219081.34375,204814.3125
1771342083.5421796,Relaxed,220735.640625,232608.265625,302778.96875,275267.5625,219945.28125,235336.34375,219075.1875,204804.84375
1771342083.5421796,Relaxed,220726.703125,232596.28125,302756.4375,275242.625,219932.765625,235325.609375,219059.984375,204801.796875
1771342083.5421796,Relaxed,220705.6875,232574.65625,302722.90625,275214.0,219908.359375,235302.375,219036.640625,204780.078125
1771342083.5421796,Relaxed,220693.09375,232558.5625,302693.875,275194.875,219887.703125,235279.84375,219019.03125,204757.28125
1771342083.5421796,Relaxed,220687.640625,232551.21875,302681.78125,275179.40625,219878.5,235273.40625,219009.203125,204750.75
1771342083.5421796,Relaxed,220679.3125,232544.25,302668.65625,275162.6875,219875.734375,235270.8125,219002.578125,204751.734375
1771342083.5421796,Relaxed,220674.140625,232536.65625,302651.21875,275145.15625,219874.921875,235267.328125,218998.46875,204753.703125
1771342083.5421796,Relaxed,220665.46875,232526.375,302628.6875,275129.25,219865.625,235254.890625,218989.34375,204743.515625
