Timestamp,Type,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771340080.098738,RAW,256918.46875,266265.25,312889.5625,288713.28125,253566.875,274115.1875,255852.296875,241882.8125
1771340080.098738,RAW,255669.1875,264966.34375,311343.8125,287282.59375,252331.625,272779.71875,254600.328125,240708.453125
1771340080.098738,RAW,254468.90625,263721.0,309859.375,285922.09375,251145.015625,271497.25,253404.875,239577.984375
1771340080.1272075,RAW,253330.484375,262540.5625,308450.15625,284636.875,250016.875,270275.96875,252271.359375,238498.75
1771340080.1272075,RAW,252241.859375,261417.703125,307110.5625,283406.1875,248947.84375,269119.3125,251195.0,237477.640625
1771340080.1272075,RAW,251189.8125,260326.578125,305817.3125,282206.0625,247911.34375,268002.25,250145.171875,236486.921875
1771340080.1272075,RAW,250193.453125,259291.6875,304584.1875,281065.40625,246927.59375,266936.53125,249148.734375,235553.609375
1771340080.1272075,RAW,249251.28125,258314.734375,303416.4375,279992.625,245999.28125,265930.59375,248209.421875,234666.78125
1771340080.1272075,RAW,248348.546875,257381.78125,302301.0,278973.375,245110.140625,264969.5625,247312.765625,233815.703125
1771340080.1272075,RAW,247485.953125,256488.78125,301236.96875,277994.46875,244258.0,264050.03125,246453.5625,233002.46875
1771340080.158442,RAW,246666.53125,255639.6875,300223.09375,277057.9375,243448.953125,263175.96875,245634.15625,232234.015625
1771340080.158442,RAW,245884.578125,254826.078125,299249.09375,276156.8125,242670.046875,262332.59375,244843.875,231477.1875
1771340080.158442,RAW,245135.4375,254045.640625,298317.40625,275294.28125,241924.125,261529.109375,244088.03125,230764.15625
1771340080.158442,RAW,244416.0625,253300.984375,297428.34375,274478.53125,241214.5,260764.21875,243373.9375,230090.75
1771340080.158442,RAW,243725.21875,252587.0625,296574.84375,273700.34375,240535.890625,260030.109375,242694.0,229444.515625
1771340080.158442,RAW,243072.1875,251911.328125,295766.34375,272955.3125,239895.921875,259338.90625,242049.015625,228835.296875
1771340080.158442,RAW,242451.0,251268.046875,294995.9375,272239.875,239285.984375,258680.140625,241430.40625,228255.046875
1771340080.158442,RAW,241832.75,250630.125,294235.25,271536.25,238680.796875,258026.40625,240817.609375,227679.34375
1771340080.20733,RAW,241249.28125,250030.734375,293518.125,270881.6875,238113.6875,257411.734375,240249.4375,227141.484375
1771340080.20733,RAW,240690.03125,249453.890625,292826.90625,270254.40625,237567.671875,256821.5625,239701.015625,226616.84375
1771340080.20733,RAW,240161.734375,248906.09375,292165.65625,269653.0625,237050.28125,256259.0,239180.578125,226121.796875
1771340080.20733,RAW,239657.46875,248382.078125,291536.40625,269069.0625,236555.9375,255722.828125,238679.1875,225656.875
1771340080.20733,RAW,239175.390625,247882.109375,290934.875,268516.34375,236081.015625,255209.015625,238197.453125,225204.296875
1771340080.20733,RAW,238711.1875,247404.234375,290360.0,267990.375,235624.234375,254715.21875,237739.78125,224771.296875
1771340080.20733,RAW,238268.171875,246947.359375,289808.96875,267489.25,235185.875,254242.609375,237304.28125,224356.890625
1771340080.20733,RAW,237853.234375,246513.203125,289282.375,267010.90625,234767.265625,253788.0625,236885.671875,223951.34375
1771340080.20733,RAW,237441.078125,246084.3125,288768.0,266530.0,234359.578125,253347.015625,236470.375,223564.9375
1771340080.20733,RAW,237062.609375,245688.859375,288287.8125,266090.65625,233981.015625,252935.921875,236087.890625,223206.234375
1771340080.2391255,RAW,236695.328125,245309.609375,287828.0,265673.375,233618.125,252543.515625,235722.84375,222862.90625
1771340080.2391255,RAW,236338.78125,244945.53125,287387.9375,265271.0625,233270.328125,252167.75,235373.265625,222532.28125
1771340080.2391255,RAW,236006.1875,244598.90625,286968.34375,264885.25,232940.140625,251810.203125,235039.328125,222209.96875
1771340080.2391255,RAW,235692.984375,244272.21875,286572.96875,264515.65625,232632.40625,251479.40625,234725.78125,221919.9375
1771340080.2391255,RAW,235394.015625,243960.265625,286194.6875,264166.25,232336.203125,251158.609375,234423.671875,221635.53125
1771340080.2391255,RAW,235085.109375,243639.21875,285808.71875,263814.875,232031.953125,250828.875,234116.46875,221346.921875
1771340080.2391255,RAW,234795.15625,243340.140625,285448.6875,263483.375,231745.765625,250521.578125,233829.125,221070.125
1771340080.2391255,RAW,234521.9375,243057.890625,285106.53125,263163.90625,231475.484375,250229.9375,233555.4375,220813.4375
1771340080.2391255,RAW,234264.078125,242789.9375,284779.375,262858.59375,231223.0,249957.953125,233295.8125,220575.875
1771340080.2391255,RAW,234033.953125,242551.3125,284482.09375,262589.375,230994.921875,249710.125,233063.4375,220354.953125
1771340080.3410008,RAW,233797.015625,242305.890625,284180.09375,262321.15625,230753.78125,249450.671875,232822.484375,220112.921875
1771340080.3410008,RAW,233558.84375,242060.734375,283881.125,262052.671875,230518.109375,249195.9375,232590.921875,219889.40625
1771340080.3410008,RAW,233339.796875,241835.421875,283605.90625,261796.78125,230305.046875,248965.8125,232375.984375,219689.140625
1771340080.3410008,RAW,233136.75,241623.984375,283346.1875,261552.078125,230105.5,248751.140625,232171.515625,219500.671875
1771340080.3410008,RAW,232933.984375,241414.40625,283088.625,261315.953125,229906.484375,248536.5625,231970.703125,219312.203125
1771340080.3410008,RAW,232740.5,241216.28125,282844.25,261100.21875,229718.1875,248331.734375,231784.46875,219132.578125
1771340080.3410008,RAW,232559.546875,241032.28125,282617.4375,260898.0625,229544.296875,248142.546875,231613.703125,218967.359375
1771340080.3410008,RAW,232383.3125,240852.03125,282395.4375,260693.59375,229375.9375,247959.71875,231443.5625,218810.984375
1771340080.3410008,RAW,232217.734375,240677.875,282182.21875,260493.5,229210.890625,247783.046875,231273.953125,218647.71875
1771340080.3410008,RAW,232058.421875,240511.671875,281972.28125,260302.96875,229053.09375,247609.421875,231115.53125,218500.828125
1771340080.3410008,RAW,231908.21875,240355.65625,281776.75,260130.859375,228903.0625,247445.796875,230968.28125,218358.3125
1771340080.3410008,RAW,231764.796875,240208.75,281591.3125,259965.46875,228763.765625,247292.46875,230831.65625,218230.640625
1771340080.3410008,RAW,231601.90625,240040.9375,281387.71875,259776.09375,228605.25,247122.421875,230671.0,218084.28125
1771340080.3410008,RAW,231468.78125,239900.921875,281213.375,259610.515625,228473.375,246980.796875,230533.046875,217957.6875
1771340080.3410008,RAW,231346.203125,239773.96875,281052.53125,259462.28125,228352.859375,246848.5625,230408.765625,217839.3125
1771340080.3410008,RAW,231226.484375,239649.6875,280896.34375,259326.828125,228233.9375,246717.765625,230291.28125,217724.0625
1771340080.3410008,RAW,231106.234375,239527.5625,280743.75,259192.984375,228117.71875,246590.984375,230176.484375,217612.21875
1771340080.3410008,RAW,231005.296875,239422.78125,280607.21875,259070.5,228020.265625,246484.40625,230077.0625,217520.125
1771340080.3410008,RAW,230902.109375,239313.796875,280470.40625,258937.640625,227917.0,246372.46875,229968.796875,217419.1875
1771340080.3410008,RAW,230801.4375,239207.9375,280337.375,258810.765625,227814.0,246262.40625,229862.3125,217317.265625
1771340080.3410008,RAW,230702.109375,239104.9375,280207.65625,258698.5625,227714.578125,246156.109375,229764.59375,217224.1875
1771340080.3410008,RAW,230603.5,239002.75,280080.0625,258585.640625,227614.078125,246049.625,229666.15625,217121.015625
1771340080.3410008,RAW,230515.078125,238909.9375,279961.6875,258477.828125,227526.109375,245953.953125,229576.828125,217040.71875
1771340080.3410008,RAW,230428.890625,238819.375,279847.34375,258365.34375,227443.40625,245865.625,229487.34375,216969.5625
1771340080.448786,RAW,230341.71875,238730.234375,279735.59375,258256.0,227360.703125,245779.4375,229400.25,216891.953125
1771340080.448786,RAW,230252.484375,238639.390625,279618.90625,258159.703125,227275.234375,245686.09375,229317.828125,216811.578125
1771340080.448786,RAW,230163.609375,238550.25,279506.0,258064.484375,227189.84375,245593.734375,229234.40625,216728.78125
1771340080.448786,RAW,230104.78125,238487.84375,279422.9375,257988.578125,227130.921875,245531.59375,229173.515625,216670.578125
1771340080.448786,RAW,230044.875,238419.546875,279336.375,257904.625,227067.984375,245464.640625,229107.71875,216610.671875
1771340080.448786,RAW,229966.921875,238333.53125,279229.28125,257805.921875,226985.46875,245376.84375,229023.671875,216539.234375
1771340080.448786,RAW,229907.015625,238270.6875,279145.75,257737.796875,226924.046875,245309.0625,228964.671875,216482.015625
1771340080.448786,RAW,229841.5625,238204.78125,279059.5,257662.34375,226859.578125,245240.765625,228903.15625,216416.3125
1771340080.448786,RAW,229780.765625,238143.71875,278979.125,257587.328125,226804.953125,245180.953125,228847.71875,216366.0625
1771340080.448786,RAW,229730.703125,238093.125,278907.21875,257519.640625,226757.828125,245126.40625,228796.125,216320.46875
1771340080.448786,RAW,229673.390625,238036.4375,278828.375,257446.78125,226704.015625,245065.515625,228739.625,216267.359375
1771340080.448786,RAW,229618.765625,237983.421875,278752.09375,257388.21875,226652.15625,245006.6875,228689.375,216213.890625
1771340080.448786,RAW,229572.359375,237938.984375,278685.6875,257337.703125,226609.421875,244957.515625,228649.6875,216173.203125
1771340080.448786,RAW,229528.640625,237895.34375,278625.9375,257279.046875,226569.71875,244913.96875,228608.5625,216132.890625
1771340080.448786,RAW,229484.828125,237848.59375,278567.125,257212.984375,226527.515625,244869.8125,228561.0,216093.8125
1771340080.448786,RAW,229447.1875,237807.375,278509.09375,257157.375,226488.0,244827.703125,228517.546875,216055.453125
1771340080.448786,RAW,229411.515625,237771.25,278454.8125,257116.421875,226449.46875,244786.390625,228481.953125,216013.4375
1771340080.448786,RAW,229362.171875,237719.671875,278386.96875,257064.03125,226398.234375,244732.84375,228435.640625,215963.8125
1771340080.448786,RAW,229322.03125,237674.515625,278330.28125,257010.734375,226355.234375,244689.390625,228392.375,215929.84375
1771340080.448786,RAW,229286.796875,237634.28125,278279.15625,256957.359375,226318.3125,244652.1875,228352.578125,215896.140625
1771340080.448786,RAW,229249.609375,237589.578125,278227.28125,256901.390625,226276.375,244610.171875,228308.421875,215853.3125
1771340080.448786,RAW,229217.515625,237554.171875,278181.15625,256861.15625,226241.953125,244576.015625,228276.40625,215823.453125
1771340080.448786,RAW,229187.921875,237522.96875,278135.28125,256825.9375,226211.203125,244543.390625,228249.59375,215798.859375
1771340080.448786,RAW,229158.953125,237492.296875,278092.09375,256783.375,226181.6875,244512.265625,228218.203125,215776.421875
1771340080.448786,RAW,229141.328125,237472.640625,278060.1875,256744.390625,226165.6875,244494.75,228195.859375,215763.453125
1771340080.448786,RAW,229123.625,237452.703125,278026.75,256713.90625,226148.078125,244475.4375,228174.21875,215750.671875
1771340080.448786,RAW,229103.609375,237431.859375,277992.875,256689.5,226126.984375,244450.84375,228155.53125,215732.078125
1771340080.4853842,RAW,229072.125,237402.8125,277949.21875,256657.5,226096.671875,244415.625,228130.5,215700.0625
1771340080.4853842,RAW,229029.3125,237357.296875,277889.6875,256603.046875,226053.03125,244366.265625,228087.5,215663.5
1771340080.4853842,RAW,229001.5,237322.609375,277845.78125,256553.0625,226020.046875,244330.421875,228051.109375,215630.6875
1771340080.4853842,RAW,228974.953125,237295.078125,277805.65625,256518.375,225993.9375,244300.46875,228023.828125,215602.078125
1771340080.4853842,RAW,228957.78125,237281.03125,277775.5,256500.9375,225980.703125,244283.65625,228012.03125,215589.109375
