8.936,11.315,-6.692,15.759,10.924,2.927,13.246,5.599
12.813,12.11,-10.488,19.889,11.652,2.628,14.642,11.92
13.258,9.436,-19.142,19.935,6.419,-4.401,11.26,7.408
9.481,3.872,-30.196,15.299,-1.104,-14.486,6.19,0.003
5.812,0.244,-35.239,10.748,-4.039,-17.928,5.219,-1.211
4.26,-1.723,-34.509,9.289,-4.908,-17.746,6.442,-4.093
2.906,-5.141,-33.504,8.677,-7.723,-20.29,5.144,-11.766
3.173,-7.017,-29.887,9.515,-7.768,-19.544,4.26,-13.789
5.386,-6.663,-23.657,10.414,-5.154,-14.928,4.566,-10.301
6.584,-7.477,-18.432,7.857,-4.532,-11.785,2.317,-6.583
3.902,-10.921,-16.379,2.318,-6.673,-11.667,-2.539,-4
-3.84,-17.828,-18.431,-8.062,-12.723,-16.631,-10.647,-6.061
-11.79,-24.633,-18.834,-21.744,-20.081,-21.827,-20.598,-11.499
-12.042,-24.03,-12.517,-27.357,-21.729,-19.574,-24.278,-14.402
-4.995,-16.909,-3.301,-22.949,-18.993,-14.127,-21.241,-15.183
4.069,-8.584,5.267,-17.012,-15.885,-9.466,-17.247,-13.157
11.077,-1.666,12.328,-14.246,-11.606,-2.515,-14.799,-4.195
11.674,0.729,14.809,-15.653,-9.167,3.22,-16.342,3.128
6.517,-1.372,11.635,-18.558,-11.687,2.051,-20.637,-2.177
2.776,-1.204,8.869,-15.909,-12.175,0.241,-19.278,-10.385
5.269,6.031,11.397,-3.777,-4.098,5.43,-8.1,-8.809
9.782,15.298,15.17,10.263,6.977,13.388,5.561,-2.223
11.611,21.148,16.561,18.277,15.121,19.859,14.591,4.57
11.199,22.961,15.404,20.928,19.321,23.645,17.787,10.623
7.583,19.005,9.412,18.587,17.505,20.762,15.369,10.995
0.758,9.768,-1.358,11.659,10.597,11.972,9.121,5.933
-2.28,3.114,-9.368,8.104,5.9,4.641,5.841,2.262
2.483,3.877,-8.924,12.52,7.039,2.328,9.781,2.525
5.842,4.235,-7.782,14.931,6.732,-0.139,13.186,2.286
1.612,-1.496,-13.35,8.878,0.398,-5.939,9.693,-1.015
-3.607,-8.165,-21.439,0.208,-6.662,-11.608,3.634,-4.563
-4.987,-11.652,-28.104,-5.407,-11.035,-15.608,-0.744,-6.133
-3.327,-12.085,-32.239,-6.256,-13.875,-18.784,-4.202,-6.034
-2.757,-13.261,-36.458,-5.888,-18.371,-24.88,-8.658,-8.249
-3.266,-14.874,-39.791,-5.866,-23.063,-31.497,-11.539,-12.331
-0.41,-12.393,-36.603,-4.724,-23.069,-30.241,-11.373,-12.547
1.451,-10.78,-32.227,-7.715,-23.217,-27.176,-13.814,-13.791
2.158,-10.017,-27.805,-11.06,-23.357,-25.314,-16.446,-14.553
8.291,-3.12,-16.66,-5.689,-16.877,-16.846,-12.371,-7.337
16.222,5.562,-2.953,0.972,-9.112,-6.184,-6.082,0.896
