-0.269,13.313,9.372,14.6,4.781,18.158,20.53,10.141
-1.417,11.019,9.662,16.594,5.972,19.958,21.378,14.257
-6.452,5.744,7.074,13.475,5.655,19.493,18.858,14.978
-13.726,-1.158,1.617,3.788,3.349,16.181,13.698,9.542
-15.47,-2.61,0.392,0.729,4.371,16.036,12.541,6.835
-15.627,-3.055,0.834,-0.488,4.52,16.372,11.545,6.84
-20.578,-8.893,-4.642,-8.947,-0.631,11.522,6.217,4.586
-26.847,-16.503,-14.175,-15.809,-6.571,4.117,0.129,3.038
-29.769,-20.205,-19.702,-14.819,-7.538,1.411,-2.368,5.839
-28.716,-19.617,-19.285,-11.034,-4.643,3.303,-1.282,9.899
-25.025,-18.631,-17.605,-9.902,-4.963,2.28,-1.751,8.171
-16.396,-15.938,-14.137,-7.649,-7.147,-0.13,-3.092,3.754
0.572,-6.857,-4.462,2.16,-4.766,2.011,-0.305,2.043
17.194,2.826,5.658,11.889,-1.954,4.536,1.922,-1.233
23.652,5.903,8.525,12.019,-3.252,2.958,-0.729,-4.458
24.565,6.699,8.744,8.215,-3.95,1.582,-2.359,-2.171
28.092,12.375,13.578,10.143,0.926,5.875,2.37,3.605
31.219,19.889,19.903,16.423,7.714,12.406,8.278,6.667
25.895,20.456,20.975,19.254,9.907,13.65,8.598,4.263
13.048,13.079,15.652,14.94,7.919,8.826,4.495,0.344
1.549,5.937,9.087,6.688,7.871,4.937,1.823,1.267
-0.398,7.85,8.761,5.311,14.93,9.246,7.234,8.367
1.508,12.615,9.309,10.192,20.613,13.695,14.005,9.804
-2.419,10,2.855,9.246,16.609,8.677,12.069,1.729
-7.114,6.063,-2.628,5.128,12.599,3.024,9.219,-0.092
-10.069,4.09,-4.238,2.762,12.212,0.957,10.043,4.798
-14.21,-0.331,-8.633,0.388,9.27,-3.068,8.742,4.027
-16.128,-4.796,-12.989,-0.267,5.87,-6.217,6.127,1.51
-14.093,-5.53,-11.358,1.839,6.657,-3.192,6.895,6.442
-10.978,-4.292,-7.13,4.962,8.884,1.769,9.477,13.676
-10.198,-5.236,-6.096,5.869,6.78,1.079,8.298,12.979
-12.855,-9.64,-8.817,3.142,-0.201,-5.321,2.673,5.782
-16.237,-15.265,-12.198,-2.499,-8.826,-12.949,-4.794,-1.575
-14.269,-16.555,-11.425,-5.811,-13.234,-16.394,-8.873,-4.81
-5.658,-11.413,-6.968,-1.563,-9.96,-13.485,-5.701,-1.255
2.4,-5.434,-3.736,4.552,-3.92,-8.584,-0.196,5.705
6.652,-1.53,-1.178,7.235,0.103,-4.745,3.16,11.105
5.043,-2.137,-1.875,4.876,-2.908,-6.64,1.062,10.105
-4.782,-9.182,-10.494,-2.881,-15.478,-17.11,-7.706,0.812
-16.179,-15.629,-20.088,-9.416,-28.24,-27.358,-15.648,-10.702
-22.426,-15.283,-21.846,-9.756,-32.392,-30.348,-17.302,-17.874
-20.9,-7.936,-15.269,-3.671,-26.528,-25.587,-12.24,-16.076
-12.256,3.387,-4.552,6.505,-13.334,-15.033,-2.246,-5.728
-3.629,12.07,3.907,14.156,-0.935,-5.21,5.837,4.159
-1.277,13.231,5.113,13.523,3.104,-2.9,5.9,5.265
-3.644,9.154,1.135,7.768,-0.932,-8.714,0.261,-0.597
-6.701,4.668,-3.132,2.69,-7.683,-16.237,-5.2,-6.76
-4.224,6.07,-1.508,2.697,-8.191,-15.157,-4.348,-6.659
6.229,14.319,5.075,10.335,-0.778,-6.981,3.376,-1.594
16.287,20.059,6.552,18.221,4.375,-3.999,9.178,-1.793
21.065,20.481,3.686,19.867,5.109,-5.147,10.648,-5.737
21.711,18.985,1.503,18.661,5.227,-4.658,10.936,-7.727
20.373,17.745,0.319,20.556,6.763,-2.541,12.445,-6.808
19.394,17.376,0.612,21.987,11.406,1.698,16.663,-0.435
16.762,14.25,0.209,16.018,14.132,5.054,18.011,4.06
13.73,10.666,1.022,11.159,13.767,8.09,15.933,2.78
12.847,9.827,4.446,11.952,13.842,12.329,14.829,3.456
9.419,6.107,3.867,8.421,9.854,10.439,10.648,1.376
4.179,-0.047,-0.83,1.372,2.126,3.151,3.631,-6.355
4.013,-2.208,-3.012,-0.096,-1.838,-0.358,0.436,-9.15
8.515,-0.977,-1.203,3.007,-2.26,0.578,0.201,-7.516
9.926,-2.88,-0.653,0.777,-5.521,-0.638,-3.833,-8.638
6.663,-8.659,-2.859,-8.462,-12.995,-5.551,-12.527,-11.254
7.945,-9.413,0.134,-11.826,-17.857,-6.607,-17,-9.526
17.069,-1.562,11.486,-3.622,-16.571,-0.307,-13.477,-1.962
28.365,9.65,26.226,8.022,-13.56,8.357,-7.966,3.629
38.959,21.42,40.448,17.255,-8.965,17.719,-1.657,8.07
48.898,34.615,53.566,25.501,1.932,30.718,9.039,21.286
55.675,46.554,63.698,33.938,15.981,43.768,20.847,35.705
54.555,50.867,64.269,39.07,24.993,48.769,26.825,38.88
45.402,46.305,54.238,37.516,26.725,44.185,26.361,33.681
32.913,36.989,39.697,30.123,23.813,34.313,22.92,26.906
20.674,26.984,25.713,21.441,18.741,23.567,18.311,19.1
10.987,19.541,15.989,15.37,14.021,14.954,14.059,9.741
6.494,16.675,11.413,13.94,12.512,10.393,12.926,2.997
3.745,13.986,6.976,12.497,10.928,6.537,12.003,-2.043
-2.521,6.664,-1.203,6.092,5.642,0.061,7.411,-8.69
-7.449,1.202,-7.283,2.277,3.101,-3.411,5.189,-10.586
-10.555,-0.838,-10.2,1.435,3.547,-3.496,5.043,-6.562
-16.288,-5.499,-14.322,-3.822,0.742,-5.106,0.499,-3.749
-20.677,-10.484,-16.686,-9.72,-3.142,-6.539,-4.899,-4.419
-21.072,-12.617,-15.958,-11.454,-4.801,-5.666,-6.962,-5.955
-19.771,-13.347,-14.451,-10.116,-5.43,-3.888,-7.172,-7.425
-17.665,-13.077,-12.075,-8.463,-5.709,-2.47,-6.431,-8.165
-14.494,-11.427,-8.726,-8.694,-4.687,-0.554,-4.961,-3.878
-13.171,-10.789,-7.978,-11.656,-4.829,0.038,-5.749,1.705
-12.566,-10.358,-10.512,-13.652,-6.342,-1.548,-7.927,3.05
-9.414,-8.233,-12.764,-11.83,-7.256,-3.226,-9.02,1.756
-7.928,-8.339,-15.256,-11.566,-10.362,-5.857,-11.4,-2.728
-7.628,-9.983,-16.997,-12.989,-14.322,-8.926,-13.592,-7.834
-3.218,-8.055,-14.439,-9.342,-14.063,-9.517,-12.06,-8.188
1.971,-5.475,-12.515,-4.032,-12.36,-9.2,-10.985,-6.936
3.998,-6.114,-14.536,-4.086,-13.875,-11.332,-14.173,-7.485
5.801,-6.404,-14.299,-6.57,-16.562,-13.417,-17.837,-7.687
9.398,-3.549,-8.442,-5.672,-17.933,-11.628,-18.786,-9.095
14.554,2.185,1.932,-0.186,-16.581,-5.257,-16.348,-11.661
19.334,8.657,13.427,5.884,-12.066,3.345,-11.889,-10.368
22.218,13.289,22.021,10.056,-7.291,9.419,-8.063,-6.148
23.25,14.463,24.513,12.135,-6.274,9.827,-7.509,-6.387
22.007,12.163,21.509,10.271,-8.767,6.583,-10.163,-11.285
21.34,10.872,20.064,7.176,-8.755,5.327,-10.126,-12.576
22.454,12.548,21.904,6.449,-4.699,7.718,-6.239,-9.337
21.483,13.636,21.618,5.713,-1.14,10.054,-3.417,-5.768
17.878,12.428,16.966,4.271,-0.073,9.184,-2.51,-3.888
14.358,10.147,10.371,4.432,-0.148,6.234,-1.66,-3.97
11.216,8.221,5.504,5.207,0.738,5.064,-0.303,-2.597
6.3,5.683,2.681,2.822,1.694,5.286,-0.174,-1.614
0.546,2.52,1.677,-2.06,1.977,4.564,-1.43,-2.894
-2.499,1.982,2.634,-3.644,4.375,4.769,-0.921,-1.542
-3.75,3.4,3.275,-3.311,8.305,6.726,1.085,1.208
-7.754,1.533,1.219,-7.347,8.612,6.366,0.086,0.459
-14.48,-4.361,-3.833,-13.235,4.56,2.902,-4.194,-1.931
-17.741,-7.979,-6.754,-13.911,2.844,2.456,-5.027,-0.744
-14.804,-5.851,-3.766,-8.603,6.847,7.684,0.58,4.771
-9.392,-1.892,1.727,-2.079,11.658,13.955,6.972,11.614
-6.338,-1.083,4.71,0.409,12.231,16.107,7.959,17.732
-7.691,-5.891,1.4,-4.73,6.776,11.047,2.164,18.614
-10.643,-14.652,-5.79,-14.868,-3.994,0.173,-7.853,9.824
-11.692,-22.189,-9.973,-22.857,-14.898,-9.556,-17.454,-1.812
-11.185,-25.451,-9.886,-26.049,-20.917,-13.807,-22.926,-7.515
-9.958,-24.603,-8.373,-24.486,-22.336,-13.624,-23.643,-7.737
-6.943,-20.989,-7.067,-18.277,-21.365,-11.401,-20.323,-5.579
-2.424,-15.838,-4.608,-10.725,-17.955,-7.643,-13.982,-1.193
-1.978,-13.157,-3.215,-7.928,-16.022,-5.867,-9.728,0.944
-6.666,-14.658,-6.01,-9.212,-19.343,-9.47,-10.117,-2.158
-8.413,-14.25,-8.027,-7.319,-22.462,-13.696,-9.706,-2.848
-6.107,-11.82,-7.828,-4.597,-24.365,-17.634,-8.56,-3.317
-6.083,-13.643,-8.92,-8.654,-30.026,-23.594,-12.241,-9.716
-9.292,-19.047,-11.155,-17.01,-37.467,-28.02,-18.691,-14.587
-12.663,-23.888,-13.527,-22.161,-41.912,-29.463,-21.932,-14.593
-15.369,-27.232,-15.532,-23.443,-42.507,-29.494,-21.128,-13.318
-16.209,-27.661,-15.316,-23.211,-39.938,-27.253,-18.159,-11.456
-15.079,-24.812,-13.478,-22.668,-35.249,-23.186,-14.297,-8.74
-17.127,-23.6,-15.37,-25.319,-30.493,-20.001,-12.119,-4.331
-24.605,-26.676,-21.674,-30.848,-27.428,-18.632,-13.424,-1.535
-32.279,-29.811,-26.213,-32.97,-25.325,-17.753,-14.808,-2.351
-34.154,-28.192,-24.383,-28.191,-20.663,-13.529,-11.243,-0.797
-32.065,-24.347,-18.163,-22.824,-15.073,-6.486,-6.494,1.82
-32.125,-24.125,-13.528,-24.493,-14.231,-2.896,-7.413,-0.392
-33.837,-26.507,-11.78,-30.191,-16.243,-2.344,-11.131,-2.354
-34.217,-27.997,-9.572,-33.702,-17.53,-1.228,-13.235,1.102
-36.246,-31.496,-10.893,-36.399,-22.086,-3.493,-16.92,2.309
-41.48,-39.018,-19.793,-40.838,-31.521,-10.672,-24.08,-3.919
-41.853,-42.673,-25.448,-41.127,-37.111,-14.188,-27.764,-8.49
-32.22,-37.059,-20.082,-33.451,-32.918,-9.61,-23.105,-5.215
-21.092,-29.401,-12.994,-26.017,-25.854,-4.423,-16.78,0.058
-16.462,-25.92,-11.925,-24.682,-22.816,-4.647,-15.268,0.243
-14.208,-21.963,-11.336,-21.977,-19.831,-7.085,-13.785,-2.431
-10.714,-15.118,-8.639,-14.947,-14.185,-10.711,-8.044,-4.237
-6.966,-7.574,-6.896,-7.627,-7.332,-14.303,-0.368,-6.542
