Timestamp,Type,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771506946.6239161,RAW,665861.0625,-69833.2890625,289856.1875,431563.75,430735.21875,-230560.3125,332713.15625,75363.2890625
1771506946.6239161,RAW,355521.84375,22238.82421875,548085.5625,496175.9375,484024.71875,-315411.46875,128953.65625,-141221.1875
1771506946.6239161,RAW,-249557.5,22165.421875,606094.0625,668603.625,644409.5,26489.052734375,172793.390625,2586.007568359375
1771506946.6239161,RAW,-524454.625,-93338.2109375,517631.65625,736521.75,750000.0625,365491.09375,248268.890625,94181.1328125
1771506946.6239161,RAW,19148.3828125,-249566.53125,537272.8125,733640.625,750000.0625,298030.5,148927.984375,90618.71875
1771506946.6239161,RAW,750000.0625,-102934.8828125,645288.375,750000.0625,750000.0625,470363.6875,100557.015625,-74417.09375
1771506946.6239161,RAW,750000.0625,490081.78125,682287.9375,750000.0625,750000.0625,611775.6875,672199.9375,499664.59375
1771506946.672618,RAW,750000.0625,230437.375,750000.0625,750000.0625,750000.0625,733872.25,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,262836.6875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,581143.75,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771506946.672618,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,722922.0625,750000.0625
1771506946.672618,RAW,681911.3125,678652.5625,750000.0625,750000.0625,716939.3125,678228.25,619279.25,711558.1875
1771506946.672618,RAW,587002.6875,584076.875,725476.3125,658261.25,617241.75,583930.9375,533236.5625,612495.3125
1771506946.672618,RAW,521129.0625,518476.375,643978.3125,584340.25,548057.4375,518480.5625,473635.28125,543836.75
1771506946.70148,RAW,496051.40625,493574.8125,612915.8125,556195.125,521736.15625,493578.40625,450988.40625,517719.4375
1771506946.70148,RAW,481271.34375,478918.25,594584.0625,539612.8125,506205.0,478895.1875,437589.78125,502269.65625
1771506946.70148,RAW,467842.40625,465574.625,577908.3125,524515.4375,492061.6875,465547.0625,425361.5,488263.5
1771506946.70148,RAW,455464.8125,453266.125,562558.125,510608.8125,479029.125,453224.1875,414130.09375,475332.3125
1771506946.70148,RAW,444071.96875,441930.125,548420.0,497795.8125,467030.78125,441879.625,403762.46875,463452.90625
1771506946.70148,RAW,433545.4375,431439.75,535371.3125,485957.15625,455953.34375,431396.03125,394189.84375,452499.71875
1771506946.70148,RAW,423795.71875,421738.8125,523284.75,475003.03125,445692.71875,421694.375,385313.34375,442331.84375
1771506946.70148,RAW,414760.6875,412761.0,512083.3125,464847.09375,436181.71875,412705.59375,377072.4375,432895.71875
1771506946.7500641,RAW,406314.6875,404362.5625,501615.625,455374.25,427297.15625,404292.03125,369384.21875,424088.875
