Timestamp,Phase,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771510485.2831469,Relaxed,674431.75,-63311.9453125,349818.0625,428118.8125,400860.75,-337529.59375,241894.96875,-19181.91015625
1771510485.2831469,Relaxed,341341.90625,-14729.263671875,422836.8125,567898.375,475324.0,-317510.65625,116518.3046875,-111530.3828125
1771510485.2831469,Relaxed,-332797.03125,-11057.408203125,521441.28125,704276.125,652857.5,77759.7578125,172834.0625,47989.28515625
1771510485.2831469,Relaxed,-541575.9375,-133074.78125,510532.90625,722025.5,750000.0625,372582.84375,238580.5625,107753.1171875
1771510485.2831469,Relaxed,139876.15625,-215207.4375,549983.8125,750000.0625,750000.0625,312632.875,118796.21875,57302.9921875
1771510485.2831469,Relaxed,750000.0625,17668.697265625,650726.875,750000.0625,750000.0625,499593.34375,153619.609375,-73971.8515625
1771510485.2831469,Relaxed,750000.0625,593203.375,692134.3125,750000.0625,750000.0625,617736.8125,750000.0625,624218.0
1771510485.2831469,Relaxed,750000.0625,361886.28125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,490412.75,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,634063.3125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771510485.2831469,Relaxed,750000.0625,749780.625,750000.0625,750000.0625,750000.0625,746448.625,676982.3125,750000.0625
1771510485.2831469,Relaxed,646891.375,642381.125,750000.0625,750000.0625,655174.75,639773.375,580294.9375,664090.8125
1771510485.2831469,Relaxed,559290.8125,555281.125,722168.375,651531.75,566564.1875,553253.6875,501901.375,574183.0
1771510485.2831469,Relaxed,511137.40625,507478.15625,659930.4375,595416.875,517865.71875,505696.0,458905.9375,524817.3125
1771510485.2831469,Relaxed,492934.3125,489470.875,636366.4375,574194.1875,499458.59375,487734.125,442673.1875,506157.875
1771510485.2831469,Relaxed,478386.625,475065.4375,617522.25,557227.875,484725.59375,473362.40625,429611.0,491205.625
1771510485.2831469,Relaxed,465067.21875,461843.5625,600275.4375,541677.5,471232.28125,460187.65625,417680.625,477551.65625
1771510485.2831469,Relaxed,452831.0,449694.15625,584437.4375,527396.875,458828.21875,448077.84375,406699.21875,464998.90625
1771510485.2831469,Relaxed,441557.46875,438495.03125,569846.0625,514241.34375,447401.3125,436912.4375,396574.0625,453433.78125
1771510485.2831469,Relaxed,431148.28125,428153.0625,556365.875,502103.53125,436846.625,426608.53125,387229.25,442757.9375
1771510485.2831469,Relaxed,421522.71875,418594.375,543889.9375,490850.0625,427075.25,417070.25,378553.28125,432846.125
1771510485.2831469,Relaxed,412594.53125,409725.375,532320.0625,480423.0625,418019.75,408219.5,370503.875,423669.65625
1771510485.2831469,Relaxed,404297.46875,401481.78125,521563.21875,470717.5625,409602.625,399998.4375,363031.34375,415155.15625
1771510485.2831469,Relaxed,396570.21875,393808.96875,511548.125,461693.71875,401761.28125,392343.59375,356064.46875,407219.375
1771510485.2831469,Relaxed,389363.90625,386655.5,502207.875,453282.40625,394454.5625,385206.21875,349572.28125,399818.8125
1771510485.2831469,Relaxed,382622.71875,379962.34375,493470.03125,445393.03125,387624.25,378532.71875,343505.46875,392897.71875
1771510485.2831469,Relaxed,376320.59375,373703.75,485299.40625,438032.6875,381233.6875,372293.0,337830.90625,386426.0
1771510485.2831469,Relaxed,370419.65625,367842.84375,477645.4375,431134.25,375249.25,366448.65625,332519.0625,380371.28125
1771510485.2831469,Relaxed,364893.5,362353.8125,470471.15625,424676.46875,369644.125,360971.21875,327547.3125,374688.75
1771510485.2831469,Relaxed,359704.0625,357199.5,463728.625,418614.5,364380.9375,355830.21875,322878.03125,369344.09375
1771510485.2831469,Relaxed,354812.875,352344.34375,457385.90625,412891.90625,359425.71875,350990.4375,318476.6875,364318.34375
1771510485.2831469,Relaxed,350214.5625,347776.8125,451421.21875,407513.53125,354762.78125,346439.90625,314335.09375,359594.4375
1771510485.2831469,Relaxed,345882.625,343473.5625,445800.28125,402450.96875,350369.5,342152.375,310437.40625,355145.71875
1771510485.2831469,Relaxed,341789.125,339410.53125,440489.15625,397664.90625,346222.8125,338103.15625,306760.09375,350946.0
1771510485.2831469,Relaxed,337931.46875,335581.59375,435478.4375,393153.4375,342315.71875,334287.4375,303296.28125,346985.90625
1771510485.2831469,Relaxed,334293.0625,331969.46875,430751.84375,388908.84375,338630.03125,330686.125,300031.5,343244.125
1771510485.2831469,Relaxed,330848.9375,328549.65625,426279.09375,384878.5625,335142.4375,327280.15625,296939.28125,339716.3125
1771510485.2831469,Relaxed,327587.4375,325309.90625,422048.6875,381056.5,331842.78125,324058.1875,294011.375,336375.25
1771510485.2831469,Relaxed,324505.59375,322247.0,418044.96875,377456.875,328719.875,321008.0,291243.34375,333197.8125
1771510485.2831469,Relaxed,321584.40625,319345.1875,414252.3125,374046.4375,325760.40625,318117.28125,288622.8125,330198.84375
1771510485.2831469,Relaxed,318818.40625,316599.15625,410660.65625,370799.90625,322961.53125,315383.65625,286143.375,327362.875
1771510485.2831469,Relaxed,316200.40625,314000.375,407253.4375,367738.34375,320310.09375,312793.8125,283793.5,324673.0625
1771510485.2831469,Relaxed,313714.625,311531.375,404014.5,364826.1875,317791.125,310331.1875,281560.8125,322123.15625
1771510485.2831469,Relaxed,311364.09375,309195.90625,400952.59375,362068.3125,315405.65625,308000.4375,279442.6875,319706.21875
1771510485.2831469,Relaxed,309129.03125,306977.09375,398045.0625,359453.96875,313142.84375,305790.375,277438.53125,317412.59375
1771510485.2831469,Relaxed,307001.65625,304864.65625,395278.625,356966.40625,310987.625,303686.8125,275528.96875,315222.90625
1771510485.2831469,Relaxed,304978.9375,302853.0,392646.3125,354593.375,308935.0,301683.125,273707.84375,313135.71875
1771510485.2831469,Relaxed,303062.65625,300947.375,390145.0625,352349.875,306992.8125,299785.71875,271988.1875,311168.21875
1771510485.2831469,Relaxed,301235.8125,299130.09375,387766.3125,350207.875,305139.5,297977.46875,270345.625,309295.75
1771510485.2831469,Relaxed,299499.71875,297403.46875,385503.0625,348174.40625,303376.75,296257.53125,268782.5,307509.875
1771510485.2831469,Relaxed,297842.65625,295761.25,383350.6875,346224.875,301700.65625,294624.4375,267294.40625,305813.09375
1771510485.2831469,Relaxed,296267.125,294199.5625,381298.34375,344381.46875,300102.5,293064.71875,265877.9375,304191.4375
1771510485.2831469,Relaxed,294772.84375,292717.21875,379349.0,342639.84375,298585.4375,291581.03125,264537.1875,302655.96875
1771510485.2831469,Relaxed,293352.625,291306.71875,377497.125,340968.90625,297143.5625,290175.625,263263.25,301192.09375
1771510485.2831469,Relaxed,291986.46875,289948.4375,375716.40625,339352.34375,295759.625,288825.84375,262034.078125,299789.46875
1771510485.2831469,Relaxed,290686.3125,288656.53125,374023.90625,337824.90625,294444.46875,287542.96875,260868.390625,298450.15625
1771510485.2831469,Relaxed,289454.46875,287435.65625,372419.15625,336381.96875,293200.625,286328.8125,259767.25,297185.59375
1771510485.2831469,Relaxed,288279.65625,286272.9375,370885.03125,335003.9375,292014.03125,285170.1875,258714.65625,295982.71875
1771510485.2831469,Relaxed,287161.28125,285165.34375,369420.625,333692.875,290885.0,284067.09375,257715.453125,294836.6875
1771510485.2831469,Relaxed,286094.65625,284110.71875,368029.71875,332442.34375,289809.4375,283017.96875,256763.703125,293742.96875
1771510485.2831469,Relaxed,285068.625,283095.21875,366693.25,331238.84375,288775.0625,282007.25,255848.625,292693.34375
1771510485.2831469,Relaxed,284092.75,282125.25,365416.53125,330094.34375,287784.0,281038.96875,254970.5625,291685.71875
1771510485.2831469,Relaxed,283164.96875,281200.59375,364197.46875,328998.125,286840.3125,280116.8125,254130.9375,290732.71875
1771510485.2831469,Relaxed,282278.75,280317.8125,363033.65625,327952.84375,285939.34375,279236.5,253333.34375,289822.21875
1771510485.2831469,Relaxed,281429.3125,279473.09375,361919.71875,326951.59375,285076.125,278394.9375,252568.90625,288946.1875
1771510485.2831469,Relaxed,280618.03125,278666.53125,360857.40625,325996.90625,284250.8125,277589.71875,251837.390625,288110.15625
1771510485.2831469,Relaxed,279845.09375,277898.1875,359847.28125,325086.28125,283465.1875,276822.25,251142.25,287317.125
1771510485.2831469,Relaxed,279114.28125,277169.5,358884.46875,324222.4375,282720.25,276093.78125,250484.65625,286563.78125
1771510485.2831469,Relaxed,278415.84375,276477.78125,357961.78125,323404.375,282011.34375,275399.53125,249857.734375,285845.3125
1771510485.2831469,Relaxed,277739.125,275811.25,357076.1875,322604.0,281329.625,274734.5,249252.0,285155.53125
1771510485.2831469,Relaxed,277087.53125,275159.5625,356221.90625,321830.96875,280664.15625,274085.96875,248662.28125,284486.125
1771510485.2831469,Relaxed,276473.03125,274545.40625,355410.46875,321108.40625,280038.84375,273474.0625,248106.875,283856.15625
1771510485.2831469,Relaxed,275888.5,273966.40625,354639.5,320418.1875,279452.15625,272899.53125,247586.0,283261.625
1771510485.2831469,Relaxed,275326.21875,273407.71875,353901.53125,319752.71875,278887.125,272347.78125,247085.9375,282690.9375
1771510485.2831469,Relaxed,274790.75,272874.21875,353196.46875,319120.15625,278347.53125,271821.09375,246609.40625,282140.1875
1771510485.2831469,Relaxed,274279.15625,272366.375,352523.15625,318514.875,277830.0625,271317.46875,246149.765625,281605.09375
1771510485.2831469,Relaxed,273785.375,271876.71875,351875.75,317934.0,277335.28125,270834.21875,245712.203125,281108.96875
1771510485.2831469,Relaxed,273314.375,271406.6875,351255.09375,317377.0,276859.09375,270369.75,245288.5,280629.28125
1771510485.2831469,Relaxed,272863.84375,270957.59375,350654.53125,316835.625,276404.1875,269924.40625,244887.328125,280172.34375
1771510485.2831469,Relaxed,272437.90625,270537.03125,350090.21875,316334.78125,275975.46875,269506.0,244508.96875,279738.625
1771510485.2831469,Relaxed,272027.1875,270129.875,349545.8125,315847.0625,275561.15625,269102.40625,244140.0625,279317.96875
