Timestamp,Phase,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771511590.0686543,Relaxed,262464.03125,260294.21875,313101.375,284532.4375,264828.84375,259300.90625,234327.296875,269498.21875
1771511590.0686543,Relaxed,262459.46875,260291.34375,313100.21875,284517.4375,264827.78125,259300.359375,234323.984375,269497.40625
1771511590.0686543,Relaxed,262456.96875,260292.15625,313100.9375,284514.5625,264831.15625,259303.84375,234328.015625,269500.375
1771511590.0686543,Relaxed,262456.96875,260291.703125,313099.59375,284517.6875,264832.6875,259303.84375,234331.59375,269501.78125
1771511590.0686543,Relaxed,262458.125,260289.921875,313098.15625,284521.53125,264830.28125,259298.75,234330.328125,269497.78125
1771511590.0686543,Relaxed,262458.5,260288.40625,313094.84375,284521.90625,264827.59375,259294.015625,234327.03125,269497.3125
1771511590.0686543,Relaxed,262461.09375,260291.984375,313095.46875,284531.5625,264830.09375,259294.46875,234329.625,269498.9375
1771511590.0686543,Relaxed,262448.75,260281.515625,313087.0625,284502.0625,264823.5625,259290.625,234320.40625,269494.625
1771511590.0686543,Relaxed,262449.53125,260285.1875,313085.625,284511.25,264827.78125,259294.640625,234326.671875,269495.71875
1771511590.0686543,Relaxed,262450.8125,260287.859375,313086.8125,284512.34375,264830.46875,259297.5,234327.921875,269494.5625
1771511590.0686543,Relaxed,262449.8125,260287.234375,313085.375,284507.84375,264829.125,259296.15625,234322.203125,269493.125
1771511590.0686543,Relaxed,262454.90625,260289.921875,313087.6875,284513.03125,264830.90625,259296.96875,234323.546875,269497.21875
1771511590.0686543,Relaxed,262456.96875,260289.109375,313088.3125,284520.65625,264828.5,259296.703125,234324.078125,269491.6875
1771511590.0686543,Relaxed,262455.4375,260286.96875,313086.09375,284522.625,264828.75,259297.140625,234327.296875,269496.25
1771511590.0686543,Relaxed,262454.09375,260286.34375,313087.6875,284519.40625,264829.65625,259297.765625,234328.1875,269496.15625
1771511590.0686543,Relaxed,262444.09375,260278.296875,313084.125,284498.5625,264826.625,259295.8125,234322.203125,269498.75
1771511590.0686543,Relaxed,262448.375,260284.203125,313089.65625,284511.875,264832.40625,259300.90625,234327.296875,269506.15625
1771511590.0686543,Relaxed,262446.96875,260284.375,313090.375,284511.15625,264832.0625,259300.28125,234328.09375,269499.65625
1771511590.0686543,Relaxed,262438.0,260277.40625,313083.3125,284495.78125,264825.28125,259292.140625,234323.453125,269492.75
1771511590.0686543,Relaxed,262439.4375,260280.625,313083.9375,284514.84375,264827.875,259293.125,234328.90625,269496.25
1771511590.0686543,Relaxed,262436.84375,260276.0625,313082.0625,284502.3125,264824.65625,259291.25,234324.609375,269496.0625
1771511590.0686543,Relaxed,262441.59375,260277.046875,313086.53125,284500.09375,264826.53125,259295.09375,234325.328125,269498.46875
1771511590.0686543,Relaxed,262442.46875,260277.9375,313084.75,284508.46875,264826.6875,259293.84375,234326.9375,269501.15625
1771511590.0686543,Relaxed,262439.34375,260275.265625,313081.15625,284499.8125,264824.5625,259291.6875,234325.0625,269496.875
1771511590.0686543,Relaxed,262441.84375,260278.390625,313083.03125,284497.03125,264825.34375,259293.5625,234324.875,269498.84375
1771511590.0686543,Relaxed,262443.375,260280.984375,313082.78125,284502.84375,264824.71875,259293.125,234324.53125,269495.71875
1771511590.0686543,Relaxed,262449.8125,260287.15625,313085.90625,284518.78125,264829.75,259295.984375,234331.234375,269500.90625
1771511590.0686543,Relaxed,262451.34375,260287.78125,313084.84375,284509.8125,264830.46875,259295.8125,234331.140625,269498.65625
1771511590.0686543,Relaxed,262456.625,260290.375,313087.78125,284515.0,264833.5,259300.0,234335.96875,269500.8125
1771511590.0686543,Relaxed,262463.9375,260295.015625,313090.375,284532.0,264837.4375,259302.6875,234343.84375,269501.53125
1771511590.0686543,Relaxed,262461.96875,260291.53125,313088.6875,284521.4375,264830.53125,259297.859375,234330.6875,269493.3125
1771511590.0686543,Relaxed,262466.09375,260296.625,313091.1875,284523.25,264832.40625,259296.515625,234330.96875,269498.3125
1771511590.0686543,Relaxed,262463.5,260294.03125,313087.5,284503.65625,264829.84375,259293.484375,234325.859375,269496.4375
1771511590.0686543,Relaxed,262465.90625,260295.734375,313085.375,284506.0625,264829.125,259291.953125,234326.671875,269493.65625
1771511590.0686543,Relaxed,262464.9375,260295.90625,313083.03125,284518.59375,264826.4375,259288.109375,234327.75,269490.15625
1771511590.0686543,Relaxed,262465.5625,260299.21875,313086.96875,284525.21875,264830.90625,259292.3125,234333.203125,269497.3125
1771511590.0686543,Relaxed,262464.84375,260299.390625,313091.625,284511.34375,264832.6875,259298.84375,234332.03125,269499.71875
1771511590.0686543,Relaxed,262465.625,260298.140625,313092.53125,284516.625,264832.25,259298.9375,234332.21875,269500.1875
1771511590.0686543,Relaxed,262463.3125,260295.828125,313089.03125,284522.0625,264830.46875,259295.453125,234332.03125,269493.9375
1771511590.0686543,Relaxed,262457.78125,260292.25,313084.3125,284513.03125,264829.125,259293.296875,234329.359375,269487.125
1771511590.0686543,Relaxed,262452.75,260289.46875,313083.40625,284508.9375,264828.9375,259295.53125,234328.1875,269490.71875
1771511590.0686543,Relaxed,262455.625,260291.625,313086.625,284513.21875,264835.1875,259302.59375,234334.0,269496.4375
1771511590.0686543,Relaxed,262457.40625,260294.65625,313086.625,284517.0625,264839.21875,259306.53125,234337.125,269496.875
1771511590.0686543,Relaxed,262457.40625,260297.703125,313088.5,284522.78125,264842.96875,259311.1875,234341.328125,269499.5625
1771511590.0686543,Relaxed,262457.875,260297.96875,313088.3125,284517.5,264845.03125,259312.34375,234343.5625,269503.75
1771511590.0686543,Relaxed,262460.8125,260298.59375,313089.75,284524.3125,264844.59375,259312.078125,234343.5625,269506.96875
1771511590.0686543,Relaxed,262461.15625,260294.921875,313092.4375,284510.375,264839.84375,259308.859375,234338.921875,269503.59375
1771511590.0686543,Relaxed,262459.90625,260292.25,313086.09375,284513.21875,264835.0,259304.75,234334.890625,269501.96875
1771511590.0686543,Relaxed,262449.375,260282.046875,313077.15625,284500.25,264826.4375,259298.484375,234324.796875,269498.21875
1771511590.0686543,Relaxed,262442.84375,260274.28125,313068.65625,284494.625,264818.90625,259290.53125,234318.796875,269494.1875
1771511590.0686543,Relaxed,262448.21875,260279.8125,313067.84375,284514.5625,264822.5,259290.0,234326.40625,269498.3125
1771511590.0686543,Relaxed,262450.875,260280.796875,313067.21875,284507.59375,264822.0625,259286.5,234328.453125,269497.0625
1771511590.0686543,Relaxed,262447.3125,260274.8125,313059.96875,284499.53125,264811.59375,259277.125,234312.0,269486.875
1771511590.0686543,Relaxed,262446.40625,260273.921875,313056.59375,284495.15625,264809.25,259274.34375,234310.75,269488.65625
1771511590.0686543,Relaxed,262443.90625,260269.53125,313050.40625,284487.90625,264804.96875,259267.640625,234307.453125,269486.78125
1771511590.0686543,Relaxed,262453.46875,260276.328125,313057.84375,284495.6875,264811.5,259274.53125,234313.609375,269492.3125
1771511590.0686543,Relaxed,262449.09375,260271.859375,313054.4375,284493.5625,264811.0625,259272.296875,234311.921875,269491.5
1771511590.0686543,Relaxed,262443.90625,260270.25,313058.46875,284494.28125,264812.03125,259275.0625,234311.734375,269487.65625
1771511590.0686543,Relaxed,262442.3125,260271.6875,313060.34375,284507.40625,264814.0,259279.984375,234315.5,269486.40625
1771511590.0686543,Relaxed,262437.65625,260268.546875,313057.28125,284491.59375,264811.9375,259279.265625,234312.984375,269484.09375
1771511590.0686543,Relaxed,262439.96875,260274.0,313060.4375,284500.96875,264815.0625,259283.90625,234315.046875,269484.34375
1771511590.0686543,Relaxed,262445.6875,260280.53125,313066.59375,284502.59375,264821.15625,259291.0625,234319.875,269488.46875
1771511590.0686543,Relaxed,262450.875,260286.34375,313074.1875,284503.75,264826.25,259297.328125,234325.421875,269491.5
1771511590.0686543,Relaxed,262448.65625,260283.484375,313075.34375,284496.40625,264824.28125,259298.046875,234318.171875,269487.84375
